Symbol,Parameters,Sharpe Ratio,Max Drawdown,Win Rate,Total Trades,Profit Loss
DD,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,1.1855,0.2155,0.3533,167,3.47
DECK,overboughtThreshold=80.0;oversoldThreshold=30.0;period=5.0,1.3987,0.3684,0.4286,175,9.26
DELL,overboughtThreshold=70.0;oversoldThreshold=30.0;period=7.0,1.0271,0.3173,0.3740,123,3.18
DE,overboughtThreshold=85.0;oversoldThreshold=35.0;period=13.0,1.3270,0.2705,0.4359,39,5.72
DFS,overboughtThreshold=80.0;oversoldThreshold=35.0;period=5.0,1.3983,0.2235,0.3812,181,10.06
DGX,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,1.0117,0.2066,0.3333,24,1.52
DG,overboughtThreshold=70.0;oversoldThreshold=15.0;period=9.0,0.1207,0.4284,0.3571,56,0.17
DHI,overboughtThreshold=70.0;oversoldThreshold=35.0;period=5.0,0.9741,0.2518,0.3535,198,3.01
DHR,overboughtThreshold=75.0;oversoldThreshold=20.0;period=15.0,0.5843,0.1706,0.4400,25,0.59
DIS,overboughtThreshold=70.0;oversoldThreshold=15.0;period=15.0,0.7330,0.1762,0.3846,26,0.71
DLR,overboughtThreshold=70.0;oversoldThreshold=20.0;period=19.0,0.5698,0.1530,0.4444,18,0.73
DLTR,overboughtThreshold=75.0;oversoldThreshold=25.0;period=11.0,0.2920,0.6562,0.3333,48,0.46
DOC,overboughtThreshold=70.0;oversoldThreshold=25.0;period=5.0,0.7502,0.3642,0.3333,168,1.44
DOV,overboughtThreshold=85.0;oversoldThreshold=30.0;period=11.0,0.9405,0.3588,0.3590,39,1.95
DOW,overboughtThreshold=75.0;oversoldThreshold=35.0;period=5.0,0.8604,0.2919,0.3529,187,1.94
DPZ,overboughtThreshold=65.0;oversoldThreshold=30.0;period=25.0,0.4484,0.2906,0.3636,22,0.63
DRI,overboughtThreshold=80.0;oversoldThreshold=15.0;period=5.0,1.4003,0.1209,0.3459,133,5.39
DTE,overboughtThreshold=70.0;oversoldThreshold=15.0;period=17.0,0.6543,0.0913,0.3750,16,0.47
DUK,overboughtThreshold=65.0;oversoldThreshold=30.0;period=17.0,1.1092,0.1389,0.3958,48,1.26
DVA,overboughtThreshold=85.0;oversoldThreshold=15.0;period=7.0,0.8315,0.3136,0.4110,73,1.75
DVN,overboughtThreshold=75.0;oversoldThreshold=15.0;period=19.0,1.0398,0.1226,0.4286,14,0.86
DXCM,overboughtThreshold=75.0;oversoldThreshold=20.0;period=5.0,0.4914,0.5536,0.3310,145,1.03
D,overboughtThreshold=75.0;oversoldThreshold=15.0;period=23.0,0.4363,0.0798,0.5000,10,0.39
EA,overboughtThreshold=65.0;oversoldThreshold=35.0;period=25.0,0.8116,0.2330,0.4118,34,1.21
EBAY,overboughtThreshold=75.0;oversoldThreshold=15.0;period=13.0,0.7608,0.1780,0.4545,22,0.89
ECL,overboughtThreshold=85.0;oversoldThreshold=25.0;period=7.0,1.1073,0.2981,0.4479,96,2.29
ED,overboughtThreshold=75.0;oversoldThreshold=30.0;period=25.0,1.1237,0.1082,0.4762,21,1.54
EFX,overboughtThreshold=70.0;oversoldThreshold=25.0;period=19.0,0.7136,0.1759,0.3810,21,0.96
EG,overboughtThreshold=70.0;oversoldThreshold=35.0;period=21.0,1.3490,0.1390,0.4359,39,3.67
EIX,overboughtThreshold=75.0;oversoldThreshold=30.0;period=19.0,0.4805,0.3763,0.3600,25,0.66
ELV,overboughtThreshold=65.0;oversoldThreshold=35.0;period=5.0,1.0580,0.1926,0.3381,210,2.12
EL,overboughtThreshold=70.0;oversoldThreshold=15.0;period=21.0,0.4775,0.1587,0.4000,10,0.46
EMN,overboughtThreshold=85.0;oversoldThreshold=30.0;period=5.0,0.9016,0.3056,0.3557,149,2.22
EMR,overboughtThreshold=75.0;oversoldThreshold=30.0;period=11.0,1.2738,0.1481,0.3731,67,2.95
ENPH,overboughtThreshold=85.0;oversoldThreshold=15.0;period=5.0,0.7518,0.6554,0.3120,125,3.82
EOG,overboughtThreshold=80.0;oversoldThreshold=15.0;period=11.0,1.1224,0.1960,0.3784,37,2.71
EPAM,overboughtThreshold=70.0;oversoldThreshold=35.0;period=7.0,0.4693,0.7175,0.3435,131,1.06
